ID,Age_Group,Gender,Condition,Advice,Deck,Avg_Change
201,Young,Male,None,None,A,112.5145238
203,Young,Female,Bad,B,A,106.3762551
205,Young,Female,Bad,A,A,101.1635193
206,Young,Female,Bad,B,A,105.1775575
207,Young,Male,None,None,A,86.03061068
208,Young,Female,Bad,A,A,70.3411821
210,Young,Female,None,None,A,93.90509551
211,Young,Female,Bad,A,A,107.6037459
212,Young,Female,Bad,B,A,102.653666
213,Young,Female,None,None,A,109.3665294
214,Young,Female,Bad,A,A,103.6886969
215,Young,Female,Bad,B,A,103.1093487
216,Young,Male,None,None,A,91.07597961
217,Young,Female,Bad,A,A,111.5244949
218,Young,Female,Bad,B,A,107.7323982
219,Young,Female,None,None,A,68.74222273
221,Young,Female,Bad,B,A,86.56789032
223,Young,Male,Bad,A,A,92.4999191
224,Young,Male,Bad,B,A,90.8192132
226,Young,Female,Bad,A,A,96.60660976
227,Young,Female,Bad,B,A,48.99725768
228,Young,Female,None,None,A,125.625035
229,Young,Female,Bad,A,A,100.8978817
230,Young,Female,Bad,B,A,97.53055147
231,Young,Female,None,None,A,103.800124
232,Young,Female,Bad,A,A,100.2812397
233,Young,Female,Bad,B,A,93.18331228
234,Young,Female,None,None,A,96.41781502
235,Young,Female,Bad,A,A,97.9201644
236,Young,Female,Bad,B,A,82.75567222
237,Young,Female,None,None,A,88.7197059
238,Young,Male,Bad,A,A,98.42286271
239,Young,Female,Bad,B,A,44.05494899
240,Young,Female,None,None,A,173.8170821
241,Young,Male,Bad,A,A,114.1488255
242,Young,Female,Bad,B,A,109.3555904
243,Young,Female,None,None,A,105.8693206
244,Young,Male,Bad,A,A,197.9638341
245,Young,Female,None,None,A,77.5342504
246,Young,Female,None,None,A,110.2953573
248,Young,Female,Bad,B,A,89.11434117
249,Young,Female,None,None,A,95.58851926
250,Young,Female,Bad,A,A,91.7093043
251,Young,Female,Bad,B,A,90.8575231
252,Young,Male,None,None,A,106.0709182
253,Young,Male,Bad,A,A,135.0350404
254,Young,Female,Bad,B,A,85.0018466
255,Young,Female,None,None,A,143.3229308
256,Young,Female,Bad,A,A,95.48673314
257,Young,Male,Bad,B,A,102.5872097
258,Young,Male,None,None,A,95.68842281
259,Young,Female,Bad,A,A,105.0058149
260,Young,Female,Bad,B,A,91.42162514
261,Young,Male,None,None,A,76.93327333
262,Young,Male,Bad,A,A,91.70973692
263,Young,Male,Bad,B,A,22.87548411
264,Young,Female,None,None,A,99.18011995
265,Young,Female,Bad,A,A,96.88369402
266,Young,Female,Bad,B,A,107.5219061
59,Older,Female,None,None,A,93.77737284
61,Older,Female,Bad,B,A,113.4548772
